[time_index],[x],[y]
0.0,0.0,0.0
1.0,0.707106781187,0.658106781187
2.0,1.41421425343,1.21085095406
3.0,2.12132120132,1.68021690845
4.0,2.82842826843,2.06973671913
5.0,3.53553533554,2.37437295914
6.0,4.24264240265,2.58587121964
7.0,4.94974994659,2.69729399681
8.0,5.65685653687,2.70486807823
9.0,6.36396408081,2.60678720474
10.0,7.07107067108,2.39860701561
11.0,7.77817821503,2.07599782944
12.0,8.4852848053,1.70709884167
13.0,9.19239234924,1.48354899883
14.0,9.89949989319,1.40184676647
15.0,10.6066064835,1.36287939548
16.0,11.3137130737,1.29926228523
17.0,12.0208206177,1.1726706028
18.0,12.7279281616,0.959836602211
19.0,13.4350357056,0.647262096405
20.0,14.1421422958,0.269340515137
